date	name	filament	days	hours 	mins	z offset	self test passed	belt x	belt y	Power fail	Filament runout	crash x	crash y	MMU Fails 	MMU load fails	usage hrs (calc) 	notes
2019-10-24	Prusa 01	5118.88	327	13	50		y									7861.8	
2019-10-24	Prusa 02	5855.92	243	2	52		y									5834.9	
2019-10-24	Prusa 03	3490.8	350	0	58		y									8401.0	
2019-10-24	Prusa 05	1147.71	41	15	17		y									999.3	
2019-11-07	Prusa 01	5122.33	327	21	6	-0.990										7869.1	
2019-11-07	Prusa 02	5855.92	243	2	52	-1.315										5834.9	
2019-11-07	Prusa 03	3491.11	350	1	42	-0.815										8401.7	
2019-11-07	Prusa 04	2513.51	210	8	44	1.460										5048.7	
2019-11-07	Prusa 05	1157.89	41	20	18	-1.205										1004.3	Y axes tightned, didn't record after
2019-11-14	Prusa 01	5132.33	327	22	16	-0.990	y									7870.3	thermal runaway reported again
2019-11-14	Prusa 02	5861.74	243	4	11	-1.315	Y									5836.2	
2019-11-14	Prusa 03	3491.11	350	1	42	-0.815	Y	289	275							8401.7	loose pulley reported, these are numbers after Y tightened 
2019-11-14	Prusa 04	2513.51	210	8	44	-1.460	Y	275	290							5048.7	
2019-11-14	Prusa 05	1198.95	43	6	47	-1.205	Y	266	283							1038.8	
2019-12-14	Prusa 01	5171.24	328	10	11											7882.2	was this 318 days or 328 days? since last few 327 i'm guessing 328
2019-12-14	Prusa 02	5918.05	244	21	14											5877.2	
2019-12-14	Prusa 03	3530.41	350	14	56											8414.9	
2019-12-14	Prusa 04	2542.19	267	12	48											6420.8	
2019-12-14	Prusa 05	1354.43	47	18	53											1146.9	
2020-01-04	Prusa 01	5393.9	324	15	15											7791.3	
2020-01-04	Prusa 02	6001.66	247	23	16											5951.3	
2020-01-04	Prusa 03	3637.29	357	16	30											8584.5	
2020-01-04	Prusa 04	2544.46	267	14	39											6422.7	
2020-01-04	Prusa 05	1463.3	51	12	50											1236.8	
2020-02-27	Prusa 01	5832.59	344	9	36	-1.195										8265.6	
2020-02-27	Prusa 02	6262.44	257	13	9	-1.450										6181.2	
2020-02-27	Prusa 03	3973.96	368	17	37	-0.700	Y	290	286	18.0	23.0	30.0	17.0			8849.6	
2020-02-27	Prusa 04	2619.4	105	6	11	-1.200		268	290	30.0	4.0	36.0	67.0			2526.2	
2020-02-27	Prusa 05	2550.77	317	8	51	-1.452				19.0	13.0	24.0	115.0	70.0		7616.9	
2020-04-26	Prusa 01	6042.43	350	19	21											8419.4	
2020-04-26	Prusa 02	6504.89	261	4	10											6268.2	
2020-04-26	Prusa 03	4614.94	399	20	7											9596.1	
2020-04-26	Prusa 04	2647.04	324	21	31											7797.5	
2020-04-26	Prusa 05	3072.48	149	12	41											3588.7	
2020-05-31	Prusa 01	6042.43	350	19	21											8419.4	
2020-05-31	Prusa 02	6533.83	262	10	39											6298.7	
2020-05-31	Prusa 03	4717.99	412	19	19											9907.3	
2020-05-31	Prusa 04	2648.08	324	22	3											7798.1	
2020-05-31	Prusa 05	3193.46	168	6	9											4038.2	